duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,class1
22930417,18,4,10995965,10960941,314115.30137,360993.15873,1306744.815456,1389354.900628,6.018207,2232.187928,4,10945954,167375.306569,952994.511204,1491627,5011278.5,11141326,4507599.698301,1079974,3668800,10945954,4855368.324164,CHAT
25199304,16,4,11037969,10851858,359269.9,387414.676923,1373361.88657,1392884.659428,5.436658,2559.792921,4,10851858,185289,976395.38809,1710925,4164396.5,14269600,4973925.972214,1234883,3150269.333333,10851858,3797335.577638,CHAT
29772995,17,7,4093396,3956161,261815.256637,310135.364583,644542.230728,651271.709687,7.086959,2544.453455,7,3956161,141776.166667,462297.94793,1363299,2706523.1,6192566,1445371.850265,1147658,1955467.8,3956161,893848.31904,CHAT
29609149,22,6,3954677,3943698,271180.963303,287136.446602,668547.418823,659045.9562,7.227496,3199.011225,6,3895269,139010.089202,472527.270988,1443143,2937554.6,4176130,876966.909209,1065834,2022584.6,3895269,930381.312753,CHAT
7863522,30,8,2067690,2068091,244213.125,252051.483871,571806.194575,562812.286699,8.266016,3567.866918,8,2017289,122867.53125,400581.170736,2092947,2535198.666667,3282729,650992.780391,1707343,1897912,2017289,166786.859124,CHAT
8259704,18,9,2321059,2278426,269051.3,330388.16,639533.232126,637243.988848,6.900974,2352.384541,9,2270116,147494.714286,449957.584262,2368851,2687726,3162320,419028.124009,1702783,1980072,2270116,283881.490662,CHAT
9501115,28,16,4238250,4049808,296908.78125,364985.5,807291.57874,825945.83339,6.315048,2260.366283,16,4049808,161035.847458,571035.072721,4457215,4565761,4674307,153507.225338,1632072,2840940,4049808,1709597.520719,CHAT
5545334,30,6,2349340,2315198,267851.55,291859.684211,662553.265035,667200.262669,7.393603,3556.683872,6,2297754,138633.35,468135.293018,2347008,2656002,2964996,436983.505491,1978303,2138028.5,2297754,225885.968355,CHAT
12128582,21,8,8107194,7918721,461149.076923,527329.652174,1616625.83406,1669652.396125,4.204943,1559.291927,8,7918721,242571.64,1148808.901163,2762034,5957443.5,9152853,4518991.452236,2066591,4992656,7918721,4138080.807385,CHAT
15467172,19,10,11955453,11767212,515571.666667,570761.407407,2171466.581741,2245870.772016,3.814531,1533.69989,10,11767212,266675.37931,1542375.927817,15250923,15300000,15250923,0,11767212,11800000,11767212,0,CHAT
29889621,20,5,13099598,13090662,495796.983333,586071,1856314.425218,1995739.46184,3.780577,1405.671889,5,13047812,266871.616071,1365029.207453,2757283,5908297.8,13243650,4307438.951466,1297996,4754863.6,13047812,4995762.648942,CHAT
50483,-1,-1,-1,-1,0,0,0,0,39.617297,2476.081057,50483,50483,50483,0,-1,0,-1,0,-1,0,-1,0,CHAT
